t_s,v_revs,decel_revs2,sin_angle,cos_angle
3.4,0.18304961363366345,-0.02431372771454221,0.26523690779372616,0.9641832723834315
3.5,0.18316368995140664,-0.024333125607967077,0.37419298213343466,0.9273508570773453
3.6,0.1880062530507587,-0.03236976144490219,0.4808393306003346,0.8768087238091453
3.7,0.19287057585049894,-0.03287592166654937,0.5808139580957586,0.8140363297059526
3.8,0.19531301789950106,-0.056840462113901445,0.6749570959302127,0.7378569770988506
3.9,0.20016766501463223,-0.048868874245873904,0.7612177491105175,0.6484963673291603
4.0,0.205078125,-0.056863791772225156,0.8382247055548342,0.5453249884220522
4.1,0.21241459943887264,-0.040815599233804775,0.9020127976387258,0.4317092921121332
4.2,0.2148460382036177,-0.04873173817543375,0.9519098374948701,0.3063782976656309
4.3,0.22209251152791154,-0.04063410777265612,0.9847505970232825,0.17397201402032683
4.4,0.22224106474549643,-0.03256850713266128,0.9993775077220531,0.03527884719286801
4.5,0.2270519576723018,-0.024477513270326767,0.9942409426439829,-0.10716784951842796
4.6,0.22715806154746332,-0.008138403259394522,0.9689031862533617,-0.2474401254204408
4.7,0.23184529749286753,-0.0162113197551624,0.9232938118329576,-0.38409443764648193
4.8,0.22948459441906266,-0.00010603926791456313,0.8585193801337934,-0.5127811169833453
4.9,0.229592854541103,0.008138452185354103,0.7749627725520831,-0.6320068837903494
5.0,0.22936189734494405,0.0325279133641961,0.6760927035753144,-0.7368165688773713
5.1,0.22708057167523776,0.02447088250256968,0.5644662415205222,-0.8254561540043757
5.2,0.2221432955327174,0.03248762376237835,0.4441262513237766,-0.8959642140649868
5.3,0.2197361350799909,0.04073841764598759,0.3151379287525263,-0.9490458818526993
5.4,0.2123953451872751,0.0569822919249674,0.18302794287289517,-0.9831077113560427
5.5,0.2075416304500166,0.05704699618137947,0.05213324272732179,-0.9986401378888865
5.6,0.2050839676687488,0.04875544535553426,-0.07662386139203275,-0.9970600703394829
5.7,0.19528180082485136,0.056957975129752945,-0.20110160837345997,-0.9795703870113712
5.8,0.19288431916962168,0.04885230262191935,-0.31949911198298186,-0.947586575169829
5.9,0.18553989208950128,0.05686994142214038,-0.4289412920553294,-0.9033323684945119
6.0,0.18303825205876478,0.048900151789273615,-0.531097521813159,-0.8473106999937633
6.1,0.17578125,0.06506359826765618,-0.6224694943905402,-0.7826440624914912
