record,done_us,dt_good_us,raw,delta,counts,i2c_us,omega_mrev,window_mrev,cmd_mrev,fas_mrev,remain_ddeg,flags_hex,state,stage,current_ma,step_count,step_us,drv_status_hex,tstep,driver_age_us,gstat_hex,pins_hex
D,22064104,1019,883,0,3301,243,0,0,0,0,0,01,0,0,0,0,22064144,801D001D,1048575,24331,00,03
D,22065105,1001,883,0,3301,238,0,0,0,0,0,01,0,0,0,0,22065141,801D001D,1048575,25327,00,03
D,22066091,986,883,0,3301,231,0,0,0,0,0,01,0,0,0,0,22066123,801D001D,1048575,26308,00,03
D,22067090,999,883,0,3301,234,0,0,0,0,0,01,0,0,0,0,22067126,801D001D,1048575,27311,00,03
D,22068112,1022,883,0,3301,251,0,0,0,0,0,01,0,0,0,0,22068152,801D001D,1048575,28344,00,03
D,22069168,1056,883,0,3301,312,0,0,0,0,0,01,0,0,0,0,22069261,801D001D,1048575,29461,00,03
D,22070244,1076,883,0,3301,381,0,0,0,0,0,01,0,0,0,0,22070349,801D001D,1048575,30575,00,03
D,22071189,945,883,0,3301,326,0,0,0,0,0,01,0,0,0,0,22071259,801D001D,1048575,31453,00,03
D,22072170,981,883,0,3301,307,0,0,0,0,0,01,0,0,0,0,22072229,801D001D,1048575,32421,00,03
D,22073166,996,883,0,3301,312,0,0,0,0,0,01,0,0,0,0,22073227,801D001D,1048575,33417,00,03
D,22074146,980,883,0,3301,289,0,0,0,0,0,01,0,0,0,0,22074207,801D001D,1048575,34398,00,03
D,22075171,1025,883,0,3301,310,0,0,0,0,0,01,0,0,0,0,22075233,801D001D,1048575,35423,00,03
D,22076158,987,883,0,3301,289,0,0,0,0,0,01,0,0,0,0,22076218,801D001D,1048575,36411,00,03
D,22077137,979,883,0,3301,281,0,0,0,0,0,01,0,0,0,0,22077202,801D001D,1048575,37393,00,03
D,22078167,1030,883,0,3301,312,0,0,0,0,0,01,0,0,0,0,22078236,801D001D,1048575,38427,00,03
D,22079142,975,883,0,3301,285,0,0,0,0,0,01,0,0,0,0,22079202,801D001D,1048575,39393,00,03
D,22080202,1060,883,0,3301,333,0,0,0,0,0,01,0,0,0,0,22080301,801D001D,1048575,40497,00,03
D,22081093,891,883,0,3301,239,0,0,0,0,0,01,0,0,0,0,22081123,801D001D,1048575,41308,00,03
D,22082090,997,883,0,3301,233,0,0,0,0,0,01,0,0,0,0,22082127,801D001D,1048575,42312,00,03
D,22083094,1004,883,0,3301,231,0,0,0,0,0,01,0,0,0,0,22083126,801D001D,1048575,43311,00,03
D,22084094,1000,883,0,3301,235,0,0,0,0,0,01,0,0,0,0,22084128,801D001D,1048575,44314,00,03
D,22085095,1001,883,0,3301,236,0,0,0,0,0,01,0,0,0,0,22085127,801D001D,1048575,45313,00,03
D,22086098,1003,883,0,3301,234,0,0,0,0,0,01,0,0,0,0,22086134,801D001D,1048575,46319,00,03
D,22087106,1008,883,0,3301,237,0,0,0,0,0,01,0,0,0,0,22087142,801D001D,1048575,47328,00,03
D,22088116,1010,883,0,3301,256,0,0,0,0,0,01,0,0,0,0,22088153,801D001D,1048575,48342,00,03
D,22089181,1065,883,0,3301,309,0,0,0,0,0,01,0,0,0,0,22089264,801D001D,1048575,49467,00,03
D,22090228,1047,883,0,3301,373,0,0,0,0,0,01,0,0,0,0,22090337,801D001D,1048575,2,00,03
D,22091338,1110,883,0,3301,290,0,0,0,0,0,01,0,0,0,0,22091411,801D001D,1048575,483,00,03
D,22092112,774,883,0,3301,257,0,0,0,0,0,01,0,0,0,0,22092150,801D001D,1048575,1220,00,03
D,22093166,1054,883,0,3301,298,0,0,0,0,0,01,0,0,0,0,22093228,801D001D,1048575,2296,00,03
D,22094141,975,883,0,3301,271,0,0,0,0,0,01,0,0,0,0,22094191,801D001D,1048575,3262,00,03
D,22095142,1001,883,0,3301,285,0,0,0,0,0,01,0,0,0,0,22095204,801D001D,1048575,4272,00,03
D,22096115,973,883,0,3301,256,0,0,0,0,0,01,0,0,0,0,22096157,801D001D,1048575,5225,00,03
D,22097141,1026,883,0,3301,282,0,0,0,0,0,01,0,0,0,0,22097213,801D001D,1048575,6285,00,03
D,22098123,982,883,0,3301,268,0,0,0,0,0,01,0,0,0,0,22098167,801D001D,1048575,7237,00,03
D,22099150,1027,883,0,3301,282,0,0,0,0,0,01,0,0,0,0,22099210,801D001D,1048575,8278,00,03
D,22100201,1051,883,0,3301,335,0,0,0,0,0,01,0,0,0,0,22100304,801D001D,1048575,9383,00,03
D,22101104,903,883,0,3301,247,0,0,0,0,0,01,0,0,0,0,22101135,801D001D,1048575,10201,00,03
D,22102085,981,883,0,3301,231,0,0,0,0,0,01,0,0,0,0,22102119,801D001D,1048575,11183,00,03
D,22103105,1020,883,0,3301,236,0,0,0,0,0,01,0,0,0,0,22103141,801D001D,1048575,12207,00,03
D,22104095,990,883,0,3301,235,0,0,0,0,0,01,0,0,0,0,22104127,801D001D,1048575,13192,00,03
D,22105096,1001,883,0,3301,238,0,0,0,0,0,01,0,0,0,0,22105133,801D001D,1048575,14199,00,03
