record,done_us,dt_good_us,raw,delta,counts,i2c_us,omega_mrev,window_mrev,cmd_mrev,fas_mrev,remain_ddeg,flags_hex,state,stage,current_ma,step_count,step_us,drv_status_hex,tstep,driver_age_us,gstat_hex,pins_hex
D,27066335,991,653,0,3531,274,0,0,0,0,0,01,0,0,0,0,27066405,811D002D,1048575,31526,00,03
D,27067345,1010,653,0,3531,289,0,0,0,0,0,01,0,0,0,0,27067431,811D002D,1048575,32569,00,03
D,27068358,1013,653,0,3531,301,0,0,0,0,0,01,0,0,0,0,27068449,811D002D,1048575,33576,00,03
D,27069304,946,653,0,3531,243,0,0,0,0,0,01,0,0,0,0,27069341,811D002D,1048575,34455,00,03
D,27070318,1014,653,0,3531,249,0,0,0,0,0,01,0,0,0,0,27070361,811D002D,1048575,35476,00,03
D,27071298,980,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27071334,811D002D,1048575,36448,00,03
D,27072298,1000,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27072334,811D002D,1048575,37448,00,03
D,27073299,1001,653,0,3531,239,0,0,0,0,0,01,0,0,0,0,27073334,811D002D,1048575,38449,00,03
D,27074312,1013,653,0,3531,244,0,0,0,0,0,01,0,0,0,0,27074355,811D002D,1048575,39470,00,03
D,27075308,996,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27075344,811D002D,1048575,40458,00,03
D,27076318,1010,653,0,3531,265,0,0,0,0,0,01,0,0,0,0,27076399,811D002D,1048575,41521,00,03
D,27077413,1095,653,0,3531,351,0,0,0,0,0,01,0,0,0,0,27077590,811D002D,1048575,42737,00,03
D,27078479,1066,653,0,3531,420,0,0,0,0,0,01,0,0,0,0,27078601,811D002D,1048575,43734,00,03
D,27079340,861,653,0,3531,282,0,0,0,0,0,01,0,0,0,0,27079399,811D002D,1048575,44520,00,03
D,27080340,1000,653,0,3531,271,0,0,0,0,0,01,0,0,0,0,27080403,811D002D,1048575,45524,00,03
D,27081342,1002,653,0,3531,272,0,0,0,0,0,01,0,0,0,0,27081401,811D002D,1048575,46524,00,03
